Source,Target,Weight
33152428,8802740,1
33152428,82331972,1
129669524,27536218,1
129669524,98911490,1
129669524,102060526,1
129669524,128295586,1
15190214,15180794,1
15190214,11628224,1
15190214,140230896,1
15190214,14885306,1
15190214,2126492,1
15190214,39947864,1
15190214,1995584,1
15180794,11628224,1
15180794,140230896,1
15180794,39947864,1
15180794,2126492,1
15180794,1995584,1
133775686,260456,1
29087736,6917000,1
29087736,17012504,1
29087736,233255452,1
11213158,22849830,1
50095520,27991676,1
50095520,20250388,1
50095520,28709612,1
50095520,134276078,1
50095520,67389834,1
50095520,112724934,1
27991676,20250388,1
27991676,28709612,1
27991676,134276078,1
27991676,67389834,1
27991676,112724934,1
58430928,12546664,1
58430928,37219106,1
134967238,123151574,1
134967238,132203116,1
134967238,165793436,1
134967238,66101398,1
134967238,53138718,1
134967238,64070774,1
134967238,146404164,1
123151574,132203116,1
123151574,66101398,1
123151574,165793436,1
165012088,140259796,1
15934148,16943360,1
15934148,16942780,1
15934148,18812160,1
15934148,61796148,1
15934148,18220086,1
15934148,133314898,1
15934148,20446072,1
16943360,16942780,1
16943360,18812160,1
16943360,61796148,1
16943360,18220086,1
16943360,20446072,1
16942780,18812160,1
16942780,61796148,1
16942780,18220086,1
16942780,133314898,1
176970494,181840086,1
176970494,169359094,1
181840086,169359094,1
184072570,6884900,1
184072570,60781530,1
184072570,20847536,1
153308230,113730268,1
194025074,114734222,1
130189846,163589798,1
130189846,231444238,1
163589798,231444238,1
117011552,117010462,1
117011552,43730400,1
42346884,40462746,1
42346884,44580706,1
42346884,127918626,1
40462746,44580706,1
40462746,127918626,1
40462746,89620726,1
44580706,127918626,1
6464296,17083648,1
6464296,62026270,1
194913062,167676786,1
133990150,142611604,1
133990150,221116438,1
133990150,141860048,1
133990150,178131384,1
133990150,137603544,1
133990150,112400850,1
133990150,183551898,1
133990150,186662136,1
142611604,221116438,1
142611604,141860048,1
142611604,178131384,1
142611604,137603544,1
221116438,141860048,1
221116438,178131384,1
141860048,178131384,1
141860048,137603544,1
170697524,80752516,1
170697524,36411518,1
170697524,18020396,1
174082826,168862512,1
174082826,143570620,1
168862512,143570620,1
220631778,66273074,1
206676478,12815564,1
183651522,68663602,1
160015488,69001020,1
234974362,123989490,1
59030136,185428520,1
59030136,34065736,1
59030136,177458812,1
59030136,185422746,1
185428520,34065736,1
185428520,177458812,1
185428520,185422746,1
34065736,177458812,1
34065736,185422746,1
177458812,185422746,1
110759964,12287252,1
110759964,89608208,1
8802740,26912434,1
8802740,439880,1
8802740,1661244,1
8802740,103854244,1
8802740,22124984,1
8802740,82331972,1
191901002,139665368,1
12413386,15627008,1
9134088,25255010,1
9134088,121219828,1
9134088,38815260,1
25255010,121219828,1
25255010,38815260,1
121219828,38815260,1
10751036,112483068,1
10751036,13998088,1
10751036,7898968,1
112483068,13998088,1
112483068,7898968,1
13998088,7898968,1
100416666,108061750,1
100416666,142482386,1
100416666,142482504,1
100416666,137706578,1
100416666,142482450,1
