user,degree,clustering
33152428,2,1.0
129669524,4,1.0
15190214,7,0.38095238095238093
15180794,6,0.5333333333333333
133775686,1,0.0
29087736,3,1.0
11213158,1,0.0
50095520,6,0.8
27991676,6,0.8
58430928,2,0.0
134967238,7,0.38095238095238093
123151574,4,1.0
165012088,1,0.0
15934148,7,0.8095238095238095
16943360,6,0.9333333333333333
16942780,6,0.8666666666666667
176970494,2,1.0
181840086,2,1.0
184072570,3,0.6666666666666666
153308230,1,0.0
194025074,1,0.0
130189846,2,1.0
163589798,2,1.0
117011552,2,1.0
42346884,3,1.0
40462746,4,0.5
44580706,3,1.0
6464296,2,1.0
194913062,1,0.0
133990150,8,0.5357142857142857
142611604,5,0.9
221116438,4,1.0
141860048,5,0.9
170697524,3,1.0
174082826,2,1.0
168862512,2,1.0
220631778,1,0.0
206676478,1,0.0
183651522,1,0.0
160015488,1,0.0
234974362,1,0.0
59030136,4,1.0
185428520,4,1.0
34065736,4,1.0
177458812,4,1.0
110759964,2,1.0
8802740,7,0.5238095238095238
191901002,1,0.0
12413386,1,0.0
9134088,3,1.0
25255010,3,1.0
121219828,3,1.0
10751036,3,1.0
112483068,3,1.0
13998088,3,1.0
100416666,7,0.8571428571428571
108061750,8,0.75
142482386,8,0.75
142482504,6,1.0
137706578,6,1.0
159982500,1,0.0
61150566,3,1.0
136920144,3,1.0
49212830,3,1.0
231704818,1,0.0
31272682,2,1.0
22823560,2,1.0
21369818,3,0.6666666666666666
68560336,4,0.3333333333333333
30184852,6,0.4
59199762,3,0.6666666666666666
24280088,2,1.0
12343762,2,1.0
7703978,1,0.0
22476740,5,0.2
88524944,1,0.0
20930462,9,0.8888888888888888
16943602,9,0.8888888888888888
21743910,1,0.0
38001366,1,0.0
101519498,1,0.0
18267376,2,1.0
20342706,1,0.0
20124474,1,0.0
124597558,1,0.0
127796612,4,1.0
6359564,4,1.0
21103474,4,1.0
44647096,2,1.0
73294582,1,0.0
24100508,5,0.8
24783292,6,0.6
36579602,1,0.0
22820894,1,0.0
59883256,3,1.0
137684294,3,1.0
214676082,3,1.0
37410912,1,0.0
62508816,2,1.0
100288436,2,1.0
37730034,1,0.0
171597584,1,0.0
111752920,1,0.0
17997190,1,0.0
138196066,1,0.0
3626072,7,1.0
33386856,10,0.9333333333333333
11240268,10,0.9333333333333333
4420434,10,0.9333333333333333
12106666,10,0.9333333333333333
90427348,3,0.3333333333333333
44400132,2,1.0
60776034,2,0.0
46500758,1,0.0
23547556,1,0.0
24123684,9,0.8333333333333334
81575400,7,1.0
40669950,9,0.8333333333333334
75572936,7,1.0
111620232,8,0.9285714285714286
15754096,9,0.8333333333333334
48424348,9,0.8333333333333334
109783278,1,0.0
11421644,1,0.0
39032726,4,0.8333333333333334
28994966,4,0.8333333333333334
35043504,3,1.0
151526918,1,0.0
160653140,1,0.0
159751638,1,0.0
172729834,4,0.3333333333333333
200363620,2,1.0
44183056,1,0.0
79396916,2,1.0
145081654,2,0.0
